DateTime|SurfTermo|TermoSBE|ConductSBE|ScSBE|Lat|Lon|Speed|Cours
10.08.2021  14:38:10|-100.0|13.9762|7.41697|113.495414|51.6385|104.990913|8.16|151.5
10.08.2021  14:38:15|-100.0|13.9585|7.41696|113.529607|51.638332|104.991051|8.15|152.9
10.08.2021  14:38:23|-100.0|13.9639|7.41694|113.483674|51.638058|104.991272|8.16|152.7
10.08.2021  14:38:28|-100.0|13.9817|7.41695|113.449284|51.637897|104.991417|8.09|151.7
10.08.2021  14:38:36|-100.0|13.9938|7.41699|113.47705|51.637627|104.991661|8.32|150.7
10.08.2021  14:38:41|-100.0|14.0056|7.41696|113.397811|51.637463|104.991821|8.3|149.8
10.08.2021  14:38:49|-100.0|14.0229|7.41698|113.380294|51.637203|104.992058|8.1|150.1
10.08.2021  14:38:54|-100.0|14.0018|7.41693|113.362131|51.637043|104.99221|8.06|149.7
10.08.2021  14:39:02|-100.0|14.0295|7.41697|113.346372|51.636787|104.992447|7.98|150.1
10.08.2021  14:39:07|-100.0|14.0431|7.41697|113.3084|51.636627|104.992599|7.97|149.2
10.08.2021  14:39:15|-100.0|14.0522|7.41702|113.359987|51.636372|104.992851|8.07|148.6
10.08.2021  14:39:20|-100.0|14.1154|7.41708|113.276375|51.636215|104.993004|8.08|149.0
10.08.2021  14:39:28|-100.0|14.1432|7.41712|113.260629|51.635956|104.993248|8.03|149.3
10.08.2021  14:39:33|-100.0|14.156|7.41715|113.271112|51.635796|104.993416|8.16|147.6
10.08.2021  14:39:41|-100.0|14.1671|7.41721|113.332498|51.63554|104.99366|8.1|148.9
10.08.2021  14:39:46|-100.0|14.1587|7.41715|113.263581|51.63538|104.99382|8.07|148.9
10.08.2021  14:39:54|-100.0|14.178|7.41721|113.30227|51.63512|104.994064|8.15|149.9
10.08.2021  14:39:59|-100.0|14.1688|7.41715|113.235711|51.63496|104.994225|8.12|149.0
10.08.2021  14:40:07|-100.0|14.2073|7.41723|113.251859|51.634701|104.994469|8.01|149.7
10.08.2021  14:40:12|-100.0|14.1732|7.41715|113.22351|51.634544|104.994621|8.1|149.8
10.08.2021  14:40:20|-100.0|14.2337|7.41731|113.301514|51.634285|104.994865|8.13|149.3
